row_index,y_true,pred_cv_oof
0,0,0.15921524691956163
1,0,0.06483981142502772
2,0,0.005275202568178883
3,0,0.13561504492025858
4,1,0.029756384358298367
5,0,0.18447332691909288
6,0,0.3781413228142588
7,0,0.008833966226182753
8,0,0.15666611994905533
9,0,0.05179718903429102
10,0,0.027271324257943375
11,0,0.043684024658218044
12,0,0.24977546253251334
13,0,0.04559690717052624
14,0,0.22553824387724816
15,0,0.10478350556193741
16,0,0.03490160120316003
17,0,0.0737125444991345
18,0,0.069955458518975
19,0,0.08548438416032726
20,0,0.09983143334740453
21,0,0.05626226826140588
22,0,0.17238755981923146
23,0,0.031232787299903336
24,1,0.21219884114966076
25,0,0.09192255630845522
26,0,0.13270995913471745
27,0,0.015449515632721986
28,0,0.08967257677866076
29,0,0.09932220155793746
30,0,0.016947384663313036
31,0,0.017590990560997725
32,0,0.07058256645049446
33,0,0.04659708951428097
34,0,0.04335322310318958
35,0,0.12705925534015647
36,0,0.02164228209612037
37,0,0.022753263165370158
38,0,0.05828459643753313
39,0,0.017069458360713573
40,1,0.3363749731615418
41,0,0.0035654001832004473
42,0,0.028078638073810062
43,1,0.9381205833188402
44,0,0.16209841319269777
45,0,0.06745915081729799
46,0,0.02636840012559684
47,1,0.019656208400063612
48,1,0.3962342343385453
49,0,0.12587697978029122
50,0,0.03252255085332549
51,0,0.023275022149341216
52,0,0.014492424730490443
53,0,0.14593122001724876
54,0,0.12761939961182078
55,0,0.2958648790856392
56,0,0.06357425738002029
57,0,0.028636995675290666
58,0,0.16917151427483212
59,1,0.3460082865701701
60,0,0.05214122597050759
61,0,0.0405769668452665
62,0,0.05177270835112595
63,0,0.025418766671759605
64,0,0.007636262326964972
65,0,0.030943111802289043
66,1,0.22669399890671052
67,0,0.017266058994332287
68,0,0.032162842508221434
69,0,0.003798831217145159
70,0,0.011003862515815714
71,0,0.10933981588634957
72,0,0.1355025934627696
73,0,0.02544633839967838
74,0,0.0048521637780414685
75,0,0.0430138714540808
76,0,0.11261234560288813
77,0,0.06141237530441683
78,0,0.10694274817371927
79,1,0.23878632440455433
80,0,0.005384557319058539
81,1,0.21298848118609126
82,0,0.04185154664397905
83,0,0.25819861584869297
84,0,0.18207149365260566
85,0,0.06797512406555216
86,0,0.06778855191869443
87,0,0.09793411769432185
88,0,0.02170574150801613
89,1,0.34550270732445143
90,1,0.26276423216950895
91,0,0.04533745769754491
92,0,0.001254137449358161
93,0,0.04516080416038212
94,0,0.1294910613323103
95,0,0.03982734703728588
96,0,0.05177133891941626
97,0,0.02497923345204829
98,0,0.05571636885185053
99,0,0.16221890336141082
100,1,0.47337925095245376
101,0,0.04775131480255396
102,0,0.0549234995062231
103,0,0.07083677275695056
104,1,0.023019712209166113
105,0,0.034531005797478434
106,0,0.009247210370024269
107,1,0.026222140773512672
108,1,0.5521050595547057
